author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,sarkastik,cleaned_comment,,sentimen_relabel
@RendiWirata,Indonesia memang LUAR BIASA.  JADI SOROTAN DUNIA........   WOW.......  KEREN.    KALAU  GAK  KEREN  KAN  GAK  MUNGKIN  PULA  JADI  SOROTAN  DUNIA.   YA  GAK  ?........    SUNGUH  IDE  JENIUS  .......  MBG.,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,indonesia sorotan dunia wow keren gak keren gak sorotan dunia ya gak sunguh ide jenius mbg,,positif
@AgustIndradi,Masyarakat juga kurang menerima baik program tsb. Mending diserahkan kw orangtua.... perbaikan gizi keluarga. Semua anak anaknya ikut makan bergizi....,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,masyarakat menerima program tsb mending diserahkan kw orangtua perbaikan gizi keluarga anak anaknya makan bergizi,,positif
@maryanimamun333,proragam tdk jelas dan tdk masuk akal.itu masakan basah di masak dari jm 1 mim.lalu di kemas masih panas .ank makan siang yaaa basi lah.udh kasih orang tua nya uang.atw susu .regal.vitamin.uang rayat jadi mubajir klau begini,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,proragam tdk tdk masuk akal masakan basah masak jm mim kemas panas ank makan siang ya basi udh kasih orang tua nya uang atw susu regal vitamin uang rayat mubajir klau,,negatif
@lokananta0123,mbg hanya jadi lsdang korupsi.lebih baik iangnya di kasih ke orang tua murid lebih aman,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,mbg lsdang korupsi iangnya kasih orang tua murid aman,,positif
@NamaLengkap-o8t,MBG ini hanya kedok ladang korupsi baru,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,mbg kedok ladang korupsi,,negatif
@BllacckOppo,SEBAIK NYA MBG DI GANTI DENGAN SEKOLAH GRATIS,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,nya mbg ganti sekolah gratis,,positif
@prajitnoprajitno4887,"Gak apa2 disorot asing, nyatanya pemerintah gak sengaja meracun, anggap aja sebagai kelinci percobaan, krn pejabatnya nol pengetahuan masak makanan .",1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,gak disorot asing pemerintah gak sengaja meracun anggap aja kelinci percobaan krn pejabatnya nol pengetahuan masak makanan,,negatif
@SalmanMg,"Program gila,ribet,tdk efektif, & sumber ajang korupsi di semua lini. 
STOP MBG",1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,program gila ribet tdk efektif sumber ajang korupsi lini stop mbg,,negatif
@flowerflower2933,Mending kasih duit buat bli bahan pokok makanan. Semoga gda Korban,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,mending kasih duit bli bahan pokok makanan semoga gda korban,,negatif
@flowerflower2933,Mending kasih duit buat bli bahan pokok makanan,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,mending kasih duit bli bahan pokok makanan,,netral
@flowerflower2933,Makanan gratis dan yg masak asal2 an,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,makanan gratis yg masak an,,netral
@jhoniazka7501,hati hati .takut nanti berbahaya.bisa membawa masalah .kita sayang bapak persiden .terus ada keracunan an makan verzigi bukan makan an beracun.,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,hati hati takut berbahaya membawa sayang persiden keracunan an makan verzigi bukan makan an beracun,,negatif
@haruneffendi9769,Ini bukan mkn bergiji .tapi mkn mau bunuh ana sekola.udh jls gagal udh jngan di pksain,1025,https://youtu.be/DhJtHuU6gsQ?si=S3A8m-RaRkTxhqKH,0,"®️🔴 UPDATE❗Keracunan Massal MBG Kini Jadi Sorotan, Media Asing Sampai Laporkan 800 Siswa Jadi Korban",comment,unknown_video,0,FALSE,bukan mkn bergiji mkn bunuh ana sekola udh jls gagal udh jngan pksain,,negatif
